name,price,link
47,ACI Nutrilife Rice Bran Oil 2Ltr.,৳475,https://www.shwapno.com/aci-nutrilife-rice-bran-oil-2-liter-pet
48,ACI Nutrilife Rice Bran Oil 2Ltr.,৳475,https://www.shwapno.com/aci-nutrilife-rice-bran-oil-2-liter-pet
49,BPM Flated Rice Red 500gm,৳80,https://www.shwapno.com/bpm-flated-rice-red-500gm
50,BPM Flated Rice Red 500gm,৳80,https://www.shwapno.com/bpm-flated-rice-red-500gm
51,BPM Puffed Rice (Handmade) 500gm,৳135,https://www.shwapno.com/bpm-puffed-rice-handmade-500gm
52,BPM Puffed Rice (Handmade) 500gm,৳135,https://www.shwapno.com/bpm-puffed-rice-handmade-500gm
53,Fortune Basmati Rice Biriyani 5kg,"৳2,300",https://www.shwapno.com/Fortune-Basmati-Rice-Biriyani-5Kg
54,Fortune Basmati Rice Biriyani 5kg,"৳2,300",https://www.shwapno.com/Fortune-Basmati-Rice-Biriyani-5Kg
55,BPM Chinigura Rice (Vanga) 1kg,৳80,https://www.shwapno.com/BPM-Chinigura-Rice-Vanga-1-Kg
56,BPM Chinigura Rice (Vanga) 1kg,৳80,https://www.shwapno.com/BPM-Chinigura-Rice-Vanga-1-Kg
57,Katari Nazirshail Rice Loose Kg,৳90,https://www.shwapno.com/katari-nazirshail-rice-loose-11
58,Katari Nazirshail Rice Loose Kg,৳90,https://www.shwapno.com/katari-nazirshail-rice-loose-11
59,BPM Awus Rice (Dhekichata) 1kg,৳115,https://www.shwapno.com/BPM-Awus-Rice-Dhekichata-1-Kg
60,BPM Awus Rice (Dhekichata) 1kg,৳115,https://www.shwapno.com/BPM-Awus-Rice-Dhekichata-1-Kg
61,BPM Biroi Rice 1kg,৳120,https://www.shwapno.com/BPM-Biroi-Rice-1-Kg
62,BPM Biroi Rice 1kg,৳120,https://www.shwapno.com/BPM-Biroi-Rice-1-Kg
63,AG Food Rice Flour Roti 400gm,৳120,https://www.shwapno.com/ag-food-rice-flour-roti-400-gm
64,AG Food Rice Flour Roti 400gm,৳120,https://www.shwapno.com/ag-food-rice-flour-roti-400-gm
65,SmartHeart Chicken Rice&Cheese 85gm,৳125,https://www.shwapno.com/smartheart-chicken-ricecheese-85g
66,SmartHeart Chicken Rice&Cheese 85gm,৳125,https://www.shwapno.com/smartheart-chicken-ricecheese-85g
67,BPM Kaun Rice 500gm,৳130,https://www.shwapno.com/BPM-Kaun-Rice-500g
68,BPM Kaun Rice 500gm,৳130,https://www.shwapno.com/BPM-Kaun-Rice-500g
69,Shwapno Chinigura Rice 1kg,৳155,https://www.shwapno.com/Shwapno-Chinigura-Rice-1Kg
70,Shwapno Chinigura Rice 1kg,৳155,https://www.shwapno.com/Shwapno-Chinigura-Rice-1Kg
71,Fresh Chinigura Rice 1kg,৳165,https://www.shwapno.com/Fresh-Chinigura-Rice-1kg
72,Fresh Chinigura Rice 1kg,৳165,https://www.shwapno.com/Fresh-Chinigura-Rice-1kg
73,BPM Binne Rice (Dekichata) White 1kg,৳170,https://www.shwapno.com/BPM-Binne-Rice-Dekichata-White-1Kg
74,BPM Binne Rice (Dekichata) White 1kg,৳170,https://www.shwapno.com/BPM-Binne-Rice-Dekichata-White-1Kg
75,BPM Binne Rice (Dekichata) Red 1kg,৳175,https://www.shwapno.com/BPM-Binne-Rice-Dekichata-Red-1Kg
76,BPM Binne Rice (Dekichata) Red 1kg,৳175,https://www.shwapno.com/BPM-Binne-Rice-Dekichata-Red-1Kg
77,BPM Black Rice 1kg,৳230,https://www.shwapno.com/BPM-Black-Rice-1kg
78,BPM Black Rice 1kg,৳230,https://www.shwapno.com/BPM-Black-Rice-1kg
79,Thai Choice Rice Vinegar 300gm,৳375,https://www.shwapno.com/thai-choice-rice-vinegar-300g
80,Thai Choice Rice Vinegar 300gm,৳375,https://www.shwapno.com/thai-choice-rice-vinegar-300g
81,Teer Nazirshail Rice 5kg,৳415,https://www.shwapno.com/Teer-Nazirshail-Rice-5kg
82,Teer Nazirshail Rice 5kg,৳415,https://www.shwapno.com/Teer-Nazirshail-Rice-5kg
83,Thai Choice Rice Vermicelli 200gm,৳495,https://www.shwapno.com/thai-choice-rice-vermicelli-200-gm
84,Thai Choice Rice Vermicelli 200gm,৳495,https://www.shwapno.com/thai-choice-rice-vermicelli-200-gm
85,Thai Choice Rice Paper Spring Roll 200gm,৳525,https://www.shwapno.com/thai-choice-rice-paper-spring-roll-200-gm
86,Thai Choice Rice Paper Spring Roll 200gm,৳525,https://www.shwapno.com/thai-choice-rice-paper-spring-roll-200-gm
87,ACI Pure Chinigura Rice 1kg,৳160,https://www.shwapno.com/aci-pure-chinigura-rice-1kg
88,ACI Pure Chinigura Rice 1kg,৳160,https://www.shwapno.com/aci-pure-chinigura-rice-1kg
89,ACI Pure Najirshail Rice 10kg,৳980,https://www.shwapno.com/aci-pure-najirshile-rice-10kg
90,ACI Pure Najirshail Rice 10kg,৳980,https://www.shwapno.com/aci-pure-najirshile-rice-10kg
91,ACI Nutrilife Brown Rice 1kg,৳135,https://www.shwapno.com/aci-nutrilife-brown-rice-1kg
92,ACI Nutrilife Brown Rice 1kg,৳135,https://www.shwapno.com/aci-nutrilife-brown-rice-1kg
93,ACI Pure Puffed Rice 500gm,৳75,https://www.shwapno.com/aci-pure-puffed-rice-500gm
94,ACI Pure Puffed Rice 500gm,৳75,https://www.shwapno.com/aci-pure-puffed-rice-500gm
95,ACI Pure Flattened Rice 500gm,৳70,https://www.shwapno.com/aci-pure-flattened-rice-500g
96,ACI Pure Flattened Rice 500gm,৳70,https://www.shwapno.com/aci-pure-flattened-rice-500g
97,ACI Nutrilife Black Rice 1kg,৳250,https://www.shwapno.com/aci-nutrilife-black-rice-1kg
98,ACI Nutrilife Black Rice 1kg,৳250,https://www.shwapno.com/aci-nutrilife-black-rice-1kg
99,Fortune Basmati Biryani Rice 1kg,৳480,https://www.shwapno.com/fortune-basmati-rice-biriyani-1kg
100,Fortune Basmati Biryani Rice 1kg,৳480,https://www.shwapno.com/fortune-basmati-rice-biriyani-1kg
1,ACI Pure Chinigura Rice 2kg,৳310,https://www.shwapno.com/aci-pure-chinigura-rice-2kg
